name,image,code,category,sub_type,company,product_link
Airfly Wireless Module,https://www.dahuasecurity.com/asset/upload/product/20180416/DH-PFM871A-N1_thumb.png,PFM871A-N1,ultra_dvr,IoT,Dahua,https://www.dahuasecurity.com/products/productDetail/21397 
8 Channel Tribrid Intelligent ATM DVR,https://www.dahuasecurity.com/asset/upload/product/20180607/HCVR0804AH-VD-I_thumb.png,HCVR0804AH-VD-I,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23387 
4 Channel Tribrid small size ATM DVR,https://www.dahuasecurity.com/asset/upload/product/20180607/HCVR0404AS-VD_thumb.png,HCVR0404AS-VD,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23377 
4 Channel Tribrid Intelligent ATM DVR,https://www.dahuasecurity.com/asset/upload/product/20180607/HCVR0404AH-VFD-I_thumb.png,HCVR0404AH-VFD-I,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23367 
4/8 Channel Tribrid Analog&IP&HDCVI ATM DVR,https://www.dahuasecurity.com/asset/upload/product/20180607/HCVR0404AH-VFD_thumb.png,HCVR0404/0804AH-V(F)D,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23357 
4 Channel Tribrid Analog&IP&HDCVI ATM DVR,https://www.dahuasecurity.com/asset/upload/product/20180607/HCVR0404AG-VD_thumb.png,HCVR0404AG-VD,ultra_dvr,default,Dahua,https://www.dahuasecurity.com/products/productDetail/23347 
4 Ch. 1080P Lite Cosmic HD DVR,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1737p_cp-uvr-0404e1-s.jpg,CP-UVR-0404E1-S,4ch_dvr,default,CP_Plus,http://www.cpplusworld.com/cp-uvr-0404e1-s
4 Ch. 1080P Cosmic HD DVR,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1740p_cp-uvr-0404k1-s.jpg,CP-UVR-0404K1-S,4ch_dvr,default,CP_Plus,http://www.cpplusworld.com/cp-uvr-0404k1-s
4 Ch. 1080P Cosmic HD DVR,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1743p_cp-uvr-0401k2-s.jpg,CP-UVR-0401K2-S,4ch_dvr,default,CP_Plus,http://www.cpplusworld.com/cp-uvr-0401k2-s
4 Ch. 4MP HDCVI DVR,http://www.cpplusworld.com/pub/media/catalog/product/cache/small_image/240x300/beff4985b56e3afdbeabfc89641a4582/h/t/httpwww.cpplusworld.comuploadsproductmedium1825p_cp-uvr-0401fm1.jpg,CP-UVR-0401FM1,4ch_dvr,default,CP_Plus,http://www.cpplusworld.com/cp-uvr-0401fm1
